annee,insee,nom_commune,omr_en_tonnes,omr_en_kg_hab_an,cs_en_tonnes,cs_en_kg_hab_an,verre_seul_en_tonnes,verre_seul_en_kg_hab_an,latitude,longitude,kmeans_cluster,gmm_cluster,hierarchical_cluster,PCA_1,PCA_2,tSNE_1,tSNE_2
2021,13107.0,Simiane-Collongue,1482.0,260.0456220389542,395.0,69.31040533426918,133.0,23.337427618880508,43.4114633231149,5.43759055915268,0,0,0,-0.8134806152001,-0.172478092429712,2.8283608,4.297351
2021,13110.0,Trets,3569.0,339.9047619047619,660.0,62.85714285714286,247.0,23.52380952380952,43.43781565133749,5.700183533722614,0,0,0,-0.3429602623942,-0.20171052421394134,-5.1014223,-1.1542375
2021,13111.0,Vauvenargues,256.0,254.2204568023833,90.0,89.3743793445879,48.0,47.66633565044688,43.55873205432109,5.612875337055327,0,0,0,-1.211310925208081,-0.07828340453518376,12.520214,9.379891
2021,13112.0,Velaux,2839.0,329.5032497678737,767.0,89.02042711234911,278.0,32.26555246053854,43.52391622939224,5.249377234306395,0,0,0,-0.27318917109196533,-0.3448574786049113,-6.3605742,-0.67958164
2021,13113.0,Venelles,2760.0,328.33690221270524,740.0,88.03235783963835,339.0,40.32833690221271,43.59327091184444,5.490761828925562,0,0,0,-0.20111875847078528,-0.407561072829299,-6.9959574,-0.4409412
2021,13114.0,Ventabren,1719.0,316.39977912755387,456.0,83.93152954168967,209.0,38.468617706607766,43.54207701246936,5.30613750208586,0,0,0,-0.6436146499090898,-0.2556391727086438,-1.0068555,2.2248132
2020,13206.0,Marseille 6e  Arrondissement,16429.0,383.613141242674,1824.0,42.589954934970926,886.0,20.687883811614167,43.28693114683474,5.38061453810528,1,1,2,2.164535365126185,-0.13260409715222576,-12.720958,-9.141245
2020,13208.0,Marseille 8e  Arrondissement,26225.0,323.6535518586168,3462.0,42.7259712691909,1478.0,18.240608184825,43.237725625353406,5.374862903891148,1,1,2,4.707898681233366,-0.4831420661636441,-13.786359,-11.317489
2020,13210.0,Marseille 10e  Arrondissement,24283.0,432.5590509102569,1332.0,23.72724357832484,490.0,8.72849050553992,43.27512691876479,5.427737811451022,1,1,2,1.731243418726694,1.2205217193130686,-10.264161,-9.998086
2020,13214.0,Marseille 14e  Arrondissement,25642.0,407.3326873282394,546.0,8.673412654286667,147.0,2.335149560769487,43.34476511381636,5.393158944149239,1,1,2,0.7941647727609732,2.0206617587927598,-8.233941,-9.976791
2020,13003.0,Alleins,893.0,355.4936305732484,236.0,93.94904458598728,87.0,34.63375796178344,43.70744279450986,5.151455559329109,0,0,0,-1.0203785575683344,-0.11685196868117809,8.800903,7.352576
2020,13025.0,Châteauneuf-le-Rouge,694.0,310.5145413870246,193.0,86.35346756152126,88.0,39.37360178970918,43.49123917778662,5.568947482010155,0,0,0,-1.0580976896306498,-0.1200111166238325,9.697726,7.765278
2020,13029.0,Cornillon-Confoux,425.05182785747337,309.57889865802866,92.0,67.00655498907501,47.0,34.23160961398398,43.57860292490179,5.076720958737783,0,0,0,-1.2011599833933388,-0.062118832959002446,12.283364,9.591302
2020,13039.0,Fos-sur-Mer,6373.0,411.32051116561246,528.0,34.07770749967729,231.0,14.908997031108818,43.45607721340425,4.904168503180539,0,1,0,-0.2773015378281521,0.1294854179410071,-3.3909922,-3.831525
2020,13040.0,Fuveau,3382.0,332.9723343506941,555.0,54.6421187358472,230.0,22.64448163827902,43.45970811844215,5.553451515231331,0,0,0,-0.44653512304692317,-0.1604397394579758,-3.4975398,-0.71578246
2020,13041.0,Gardanne,7677.0,369.1930364528229,1077.0,51.79378666923151,432.0,20.77522362219872,43.4528951773024,5.480111853666495,0,1,2,0.4569401220752751,-0.17646132352112287,-8.509247,-5.0317755
